node1,node2
2177839,3738921
2177839,4184965
2177839,896840
2177839,1100572
2177839,3841597
2177839,2242503
2177839,2444711
2177839,2954977
859441,1651333
859441,2332397
859441,3296786
859441,667577
859441,3572421
859441,2900949
859441,431849
859441,2828000
859441,3570271
859441,4132916
859441,1304454
859441,3460119
859441,1372527
859441,3213246
859441,2169669
859441,3154316
859441,3905599
859441,1920782
859441,2298404
859441,3609850
859441,2574794
859441,2308498
859441,3450897
1651333,859441
1651333,2332397
1651333,3296786
1651333,667577
1651333,3572421
1651333,2900949
1651333,431849
1651333,2828000
1651333,3570271
1651333,4132916
1651333,1304454
1651333,3460119
1651333,1372527
1651333,3213246
1651333,2169669
1651333,3154316
1651333,3905599
1651333,1920782
1651333,2298404
1651333,3609850
1651333,2574794
1651333,2308498
1651333,3450897
1639169,3380125
1639169,1904884
1639169,2983812
1639169,803165
1639169,3535218
1639169,1677446
1639169,3080830
1639169,2256190
1639169,2168448
1639169,2337170
1639169,3307154
1639169,3474059
1639169,515777
1639169,1873619
1639169,2568069
1639169,963042
1639169,2634975
1639169,2741664
1639169,1782354
1639169,1143543
1639169,2528148
1100867,3294178
1100867,2637324
1100867,529896
1100867,486579
1100867,983170
1100867,3202064
1304454,859441
1304454,1651333
1304454,2332397
1304454,3296786
1304454,667577
1304454,3572421
1304454,2900949
1304454,431849
1304454,2828000
1304454,3570271
1304454,4132916
1304454,3460119
1304454,1372527
1304454,3213246
1304454,2169669
1304454,3154316
1304454,3905599
1304454,1920782
1304454,2298404
1304454,3609850
1304454,2574794
1304454,2308498
1304454,3450897
896840,2177839
896840,3738921
896840,4184965
896840,1100572
896840,3841597
896840,2242503
896840,2444711
896840,2954977
1504269,3089178
515777,3380125
515777,1904884
515777,2983812
515777,1639169
515777,803165
515777,3535218
515777,1677446
515777,3080830
515777,2256190
515777,2168448
515777,2337170
515777,3307154
515777,3474059
515777,1873619
515777,2568069
515777,963042
515777,2634975
515777,2741664
515777,1782354
515777,1143543
515777,2528148
1418199,3294178
1418199,562715
1418199,2637324
1418199,1286975
1418199,3397609
1418199,529896
1418199,465839
1418199,2197902
1418199,807014
1418199,486579
1418199,404040
1418199,983170
1418199,3956127
1418199,3202064
1418199,3644607
1418199,3140722
963042,3380125
963042,1904884
963042,2983812
963042,1639169
963042,803165
963042,3535218
